label,filename,zero_crossing_rate,zero_crossings,spectrogram,mel_spectrogram,harmonics,perceptual_shock_wave,spectral_centroids,spectral_centroids_delta,spectral_centroids_accelerate,chroma1,chroma2,chroma3,chroma4,chroma5,chroma6,chroma7,chroma8,chroma9,chroma10,chroma11,chroma12,tempo_bpm,spectral_rolloff,spectral_flux,spectral_bandwidth_2,spectral_bandwidth_3,spectral_bandwidth_4,mfcc0,mfcc_delta_0,mfcc_accelerate_0,mfcc1,mfcc_delta_1,mfcc_accelerate_1,mfcc2,mfcc_delta_2,mfcc_accelerate_2,mfcc3,mfcc_delta_3,mfcc_accelerate_3,mfcc4,mfcc_delta_4,mfcc_accelerate_4,mfcc5,mfcc_delta_5,mfcc_accelerate_5,mfcc6,mfcc_delta_6,mfcc_accelerate_6,mfcc7,mfcc_delta_7,mfcc_accelerate_7,mfcc8,mfcc_delta_8,mfcc_accelerate_8,mfcc9,mfcc_delta_9,mfcc_accelerate_9,mfcc10,mfcc_delta_10,mfcc_accelerate_10,mfcc11,mfcc_delta_11,mfcc_accelerate_11,mfcc12,mfcc_delta_12,mfcc_accelerate_12
blues,blues.00000.wav,0.08304482066898686,55031.0,-43.481335,-59.466248,-4.90663e-05,-1.0618483e-05,1784.1226409867395,-0.4905229230226978,-0.061881433645768126,0.36224273,0.3678175,0.43983454,0.24469179,0.24786204,0.33561617,0.36461842,0.43568373,0.29598567,0.3150805,0.40700847,0.38510048,123.046875,3805.7230301080335,1.3917768,2002.4124070990924,2503.626518520953,2976.4903518171645,-113.59882,0.0900569,-0.043782916,121.57067,0.03422701,-0.0012075136,-19.162262,-0.034421656,0.012654472,42.363937,0.0014930483,0.00011878224,-6.362266,0.004491554,0.006976726,18.621931,-0.00024122797,-0.0020185444,-13.699734,0.0010864622,0.0014783049,15.339802,0.0035074714,-0.0003498554,-12.274304,-0.00068591605,0.0034921512,10.970945,-0.014084052,0.0041874894,-8.326061,-0.00292979,0.004329367,8.802088,0.0023459133,-0.0045372653,-3.6699414,0.0005694754,-0.004123042
blues,blues.00001.wav,0.05603980870552978,37139.0,-39.41903,-57.10799,0.00014128137,-0.0001796235,1530.2617668815155,0.6459637775755835,-0.08558788483272967,0.46004057,0.35018244,0.32080668,0.21147147,0.20078862,0.3307943,0.39737874,0.56035525,0.38417906,0.255326,0.28477603,0.33409366,67.99958881578948,3550.7136156830047,1.4452636,2038.987608168796,2609.8601601274513,3118.7916942491215,-207.52383,0.045576386,-0.06488915,123.98514,-0.025812047,0.0037115298,8.94702,0.012586733,-0.00566786,35.86715,0.00038581694,-0.015465796,2.9095943,-0.012451464,0.007640402,21.519472,-0.0007786526,-0.011838578,-8.556513,-0.0037862966,0.009407286,23.370676,0.029760923,-0.010208994,-10.103609,-0.0075963913,0.0019452206,11.899242,-0.0037134557,-0.008625205,-5.558824,-0.0064946357,0.00042578037,5.3778763,-0.0042845896,-0.0065014907,-2.2344916,0.008673836,0.0005039643
blues,blues.00002.wav,0.07629120746326373,50563.0,-66.04504,-68.6508,-1.8167423e-06,-2.0188567e-05,1552.8324813719914,0.34002740949956073,0.025039382288055217,0.27290022,0.19595265,0.3151656,0.407986,0.5468202,0.32169855,0.30465683,0.28840375,0.33415207,0.40181875,0.38438973,0.5885084,161.4990234375,3042.4101154654873,1.6386017,1747.7540869151055,2289.010168635287,2796.034900478798,-90.757164,0.037544195,0.009677471,140.44087,-0.01247914,-0.0018883933,-29.084547,0.010308908,0.0066406084,31.686693,0.0051506674,-0.0036432126,-13.976547,-0.0029663786,0.0023031558,25.753752,-0.005097376,-0.004760959,-13.664991,-0.016028484,-0.0076977243,11.634442,-0.0030643474,0.00038971702,-11.778322,0.004260001,0.004381642,9.714756,0.0063356757,-2.7880037e-07,-13.125314,-0.006027277,-0.0056487476,5.7912464,-0.00203414,-0.0022249247,-8.901966,0.0056490446,-3.1373154e-05
blues,blues.00003.wav,0.03330886262567672,22077.0,-70.38665,-79.07208,3.6126085e-06,-1.8110994e-05,1070.1534179991847,0.2512547471111556,0.0793693772762527,0.34137148,0.40862334,0.52431893,0.5470129,0.6570751,0.5115233,0.3555539,0.25161335,0.24627054,0.3151113,0.31657928,0.38319868,63.02400914634146,2184.8790286035382,1.2481678,1596.422564648525,2235.53740785958,2821.493167784516,-199.57513,-0.11990043,0.00088272407,150.0861,-0.027420934,-0.004328193,5.663404,0.027628891,0.00042354755,26.855278,-0.0155929215,-0.0010915371,1.7700715,0.016088387,-0.002488322,14.232647,-0.0019541443,0.001945452,-4.827845,-0.0078023737,-0.0014000495,9.286853,-0.019291298,-0.0010532635,-0.75612015,-0.019064084,-5.491427e-05,8.134435,-0.007757889,-0.00088267244,-3.200026,-0.010479974,-0.0034202558,6.0780816,-0.009716264,0.0012352833,-2.478445,-0.0025975222,-0.00073605106
blues,blues.00004.wav,0.10146053871809745,67225.0,-55.22113,-79.911285,-1.845967e-05,-9.5450405e-06,1835.1285128875493,-0.17207041856304162,-0.24526799020924303,0.19260488,0.31726667,0.3920222,0.255827,0.19266362,0.53022087,0.25377947,0.1391214,0.2764243,0.32432687,0.55512375,0.27293077,135.99917763157896,3579.9574708164155,1.6452925,1748.4107586184412,2205.8559160694113,2642.1503572747474,-160.35417,0.01130668,-0.08167914,126.20948,0.015848864,0.005500435,-35.581394,0.028014759,0.024798727,22.139256,0.015449107,-0.013608672,-32.47355,0.011387227,0.008226334,10.850701,0.003898988,-0.008889684,-23.35007,0.006926773,0.0023232638,0.49324894,0.008627967,-0.002902999,-11.796539,0.010229058,0.0126843555,1.2035193,0.016899554,-0.0033685754,-13.084959,0.0029079071,0.0012436064,-2.8104992,0.0037600237,0.0010758339,-6.9344707,-0.01850397,-0.00085968187
blues,blues.00005.wav,0.09404153373936582,62326.0,-53.821938,-78.62765,2.1072833e-06,-2.7619379e-05,1832.0115969793162,0.43101535523688983,-0.05167364260256658,0.23832275,0.30023742,0.6171865,0.23574105,0.123987146,0.24376851,0.27965128,0.41129282,0.24398585,0.28553328,0.2843369,0.3662191,69.83741554054055,3481.4676306917054,1.5195411,1729.5808045469614,2199.726598727308,2639.580394927372,-177.80176,0.16076736,0.02864153,118.20316,-0.002898335,0.008356585,-17.57063,-0.047655076,-0.010296136,30.760931,-0.017451573,0.0013817878,-21.742554,-0.0057167145,0.004228289,11.919263,0.021370364,0.005392897,-20.734299,-0.012242911,-0.0023239804,3.1852882,-0.0053169355,0.004981444,-8.580818,-0.0023763573,0.0040326137,-0.9328852,0.0028731884,-0.0036601387,-11.772245,-0.0051359097,0.0045428597,-2.4087636,0.034258407,0.010906412,-9.348446,-0.01410605,0.0014495116
blues,blues.00006.wav,0.07305223740815932,48429.0,-72.22331,-78.71133,-1.1749534e-05,-2.0181798e-05,1459.4696906334664,0.7060380283011848,0.06078732202082383,0.42551303,0.22324337,0.13134769,0.15259741,0.24195795,0.49116915,0.24550842,0.16911276,0.28835592,0.46184447,0.35927588,0.30718595,71.77734375,2795.910729498985,1.6381122,1389.0684455609621,1796.6342982000565,2235.451119003228,-190.06882,0.08711513,0.0139500415,130.27023,-0.05219594,-0.01362364,-36.362114,-0.005257278,0.009563843,33.036217,0.008225144,0.0014010092,11.093892,-0.010291101,0.002369422,-0.5918819,0.020451631,0.0043244655,-20.890266,-0.01652177,8.822557e-05,0.27844238,0.0070607294,0.0010945087,-6.496385,2.3408906e-05,0.0070826705,-5.5127354,0.016362654,-0.00039376994,-7.847404,0.0020791648,0.00031086087,-3.1243007,0.010328761,0.0005033438,-6.6028223,0.0017762203,-0.0005827791
blues,blues.00007.wav,0.061442246108855375,40730.0,-49.7918,-79.42908,1.855002e-05,-4.8325477e-05,1451.8594135288934,-0.5904873147787233,-0.03981493983073418,0.25935683,0.2641216,0.32535812,0.21773879,0.21527721,0.2957619,0.19005175,0.18074943,0.26434103,0.3904735,0.6486377,0.4365907,92.28515625,2955.3197165929523,1.5435379,1577.5671155774064,2049.5543543317694,2512.21549108768,-179.3723,0.02837635,-0.050464544,136.44833,0.038245995,-0.003447923,-26.662588,-0.017307414,0.014137309,39.96545,0.017671028,-0.008497028,5.3108935,0.031149296,0.016552422,10.919133,-0.008036531,-0.0034632767,-20.559534,0.0075711054,0.005482881,8.503361,-0.02878221,0.0028267275,-11.349764,0.013591495,0.0020892054,-3.470555,-0.020144165,-0.005734601,-8.415842,-0.008424649,-0.00015498167,-6.957211,0.0024556587,-0.0049359994,-3.5460427,0.002131207,0.009693544
blues,blues.00008.wav,0.06402488761600927,42434.0,-66.35057,-68.76358,-1.5161455e-06,-2.0980322e-05,1719.4633657482495,-0.4306440439477933,-0.2276334538605942,0.3196753,0.304487,0.3666152,0.42213306,0.52381086,0.45111877,0.49344286,0.352753,0.38013813,0.46170616,0.3663597,0.46471515,83.35433467741936,3782.441190998405,1.4527974,2031.8293659086537,2534.797798535339,3003.314675028457,-121.38979,-0.092846856,-0.010582359,122.49833,0.01888185,0.012630491,-14.734729,0.005463782,-0.002487456,46.122135,0.005059523,-0.012123824,-8.179258,0.0038396986,0.00014466532,20.172466,-0.0109377485,-0.002219454,-19.171894,-0.0033700697,0.0008793461,23.036839,-0.013999787,-0.010718518,-11.832729,-0.008691257,-5.3195185e-05,21.154655,-0.02945923,-0.0063853054,-6.7227974,0.0019493523,-0.0054758843,6.989506,-0.021037785,-0.011265838,-12.730549,0.015014969,-0.0036672016
blues,blues.00009.wav,0.07917482356921887,52453.0,-48.553314,-72.585884,-4.361861e-06,-2.4223738e-05,1817.2305903199676,-0.451329532903697,0.14192105922789494,0.24824716,0.2731547,0.48851198,0.26800475,0.1797184,0.26772544,0.22258572,0.4153511,0.27268857,0.1811754,0.22990084,0.24054767,80.74951171875,3943.8319655416185,1.2483472,1973.7920387975744,2433.0973880180386,2866.498782470525,-213.26424,-0.11408868,-0.04105232,115.16476,-0.0020235863,-0.009529622,-11.69817,0.04951765,0.017516106,39.015358,-0.04002036,-0.006668088,-20.34833,0.015540751,-2.7696937e-05,13.082702,0.016568514,-0.0069076004,-9.182701,-0.007620045,-0.0011530977,9.017152,-0.0008226573,0.007892871,-14.104312,-0.00052187743,-8.01221e-05,4.2712545,-0.011863987,0.0005355146,-6.0507803,-0.012137516,0.0023416698,3.7858355,0.0073185056,0.0007780983,0.22263557,0.006631558,0.0015706142
blues,blues.00010.wav,0.06295882576856149,41720.0,-53.60288,-74.24511,-0.00010893131,8.6265085e-05,1410.0234233871572,-0.38589600347926545,0.15747857868028506,0.46208996,0.17099188,0.19255665,0.37835667,0.35394967,0.45925695,0.27628472,0.3239615,0.18765365,0.20239794,0.32359973,0.3165387,161.4990234375,2765.967419971723,1.890094,1512.3046546445703,2003.4971642410612,2480.8103164487457,-173.81046,-0.14233609,0.047313016,137.17355,0.00032618464,0.0026546796,-23.72303,0.07863094,0.0063884202,26.979677,0.022821931,0.005921939,-16.67521,0.007959786,-0.006153606,4.1947308,-0.0064801853,0.0029653239,-12.571788,0.016967507,-0.010476507,5.851669,-0.010130827,-0.00025205326,-2.8769507,0.008919496,-0.004417381,-1.1783808,0.0054823626,0.0023186917,-1.9682404,0.0088286325,-0.0028399376,1.8011796,0.004062535,0.0034719557,-3.0069504,-0.0049588997,-0.0041572554
blues,blues.00011.wav,0.043930584759280744,29108.0,-72.36359,-78.59873,4.6169084e-06,-1.1477748e-05,1352.7427099786896,0.024417772537243268,0.31796861475505495,0.24834034,0.23031722,0.30519605,0.4141203,0.6587242,0.5417941,0.3526599,0.3485594,0.34550515,0.34785593,0.2766735,0.32090238,161.4990234375,2880.9110920279873,1.4497986,1756.8820972445817,2318.327722847829,2832.499078463238,-287.9319,0.00093403144,0.024385327,124.01078,0.012506781,-0.009591795,5.4674478,-0.009874406,0.0036273135,33.66307,-0.017329032,0.008675241,1.091654,0.017108792,-0.002300239,14.703699,0.004147911,0.010925557,-4.8811417,0.009419581,-0.0022334375,8.668892,0.011611184,-0.00017469426,0.78433156,-0.00609025,-0.0018624264,6.57608,0.0076716645,-0.000385899,-4.8758154,0.0062636975,-0.0029071067,-3.1767612,0.00038705385,0.00018375379,-5.538258,0.012672528,-8.137357e-05
